order_item_id,order_id,item_id,quantity,price
1,1,317,3,388.58
2,1,316,3,292.94
3,1,314,2,263.64
4,1,321,2,595.09
5,2,330,1,135.75
6,2,333,2,236.94
7,2,332,2,459.6
8,2,334,2,412.22
9,3,147,1,224.23
10,3,149,3,450.32
11,4,51,1,431.65
12,4,55,2,411.64
13,4,54,3,341.34
14,4,52,1,598.98
15,4,53,1,109.28
16,5,261,1,197.56
17,5,259,3,514.59
18,5,260,3,342.3
19,6,346,2,310.62
20,7,25,2,358.61
21,7,28,1,355.9
22,7,27,3,304.17
23,7,26,3,457.65
24,7,24,3,118.07
25,8,26,2,457.65
26,8,25,1,358.61
27,8,27,3,304.17
28,9,190,2,578.38
29,10,299,1,328.85
30,10,303,3,120.75
31,10,298,2,122.61
32,11,129,2,561.54
33,11,132,3,320.5
34,11,133,2,316.62
35,12,47,3,376.53
36,12,42,1,426.98
37,12,44,2,203.27
38,12,49,1,551.73
39,12,45,3,433.23
40,13,172,3,265.83
41,13,171,2,405.4
42,14,22,3,340.37
43,14,19,1,522.0
44,14,20,1,325.95
45,14,21,1,220.2
46,14,23,3,546.25
47,15,173,3,583.8
48,15,167,1,541.6
49,15,170,1,373.29
50,15,171,2,405.4
51,15,174,1,529.93
52,16,173,3,583.8
53,17,101,1,415.37
54,17,100,3,560.31
55,18,215,3,564.41
56,19,325,3,266.21
57,19,328,3,383.36
58,20,175,1,233.96
59,20,183,2,297.75
60,20,181,1,491.47
61,20,178,2,466.71
62,20,182,1,304.21
63,21,53,1,109.28
64,22,132,2,320.5
65,22,128,2,476.43
66,22,137,3,390.47
67,22,130,1,547.1
68,23,252,1,372.2
69,23,254,1,145.27
70,24,142,1,277.08
71,25,275,3,169.94
72,25,274,3,310.49
73,25,272,3,517.91
74,25,270,1,470.16
75,26,300,1,409.59
76,26,303,2,120.75
77,27,51,2,431.65
78,27,57,1,316.59
79,27,55,1,411.64
80,27,50,2,179.18
81,27,52,1,598.98
82,28,76,1,163.48
83,28,78,1,463.86
84,28,77,1,324.39
85,28,75,3,440.88
86,28,74,3,546.89
87,29,96,1,388.8
88,29,102,1,271.46
89,29,98,3,145.09
90,29,95,3,367.08
91,29,103,3,115.79
92,30,202,3,275.59
93,30,207,3,177.39
94,31,183,1,297.75
95,32,77,2,324.39
96,33,141,1,117.34
97,33,140,1,165.64
98,33,142,2,277.08
99,34,112,2,517.61
100,34,108,3,560.08
101,34,113,3,126.88
102,34,105,3,226.0
103,34,111,1,118.32
104,35,104,2,229.8
105,35,94,1,392.19
106,36,328,1,383.36
107,36,326,1,546.1
108,36,323,3,535.41
109,36,327,1,201.68
110,37,324,2,468.77
111,37,326,2,546.1
112,37,327,3,201.68
113,38,310,2,270.18
114,38,306,3,155.79
115,38,308,1,535.87
116,39,127,2,414.5
117,40,85,1,238.95
118,41,183,2,297.75
119,41,178,1,466.71
120,41,175,2,233.96
121,42,250,2,353.33
122,42,245,2,516.14
123,43,276,1,417.38
124,43,272,3,517.91
125,43,266,1,103.15
126,43,268,3,486.22
127,44,84,3,337.48
128,45,22,3,340.37
129,45,23,3,546.25
130,46,283,3,584.65
131,46,287,1,210.24
132,46,285,2,381.51
133,46,288,1,376.44
134,46,290,1,189.25
135,47,239,3,223.21
136,47,243,1,413.73
137,47,240,3,244.74
138,47,241,1,301.33
139,47,242,1,477.48
140,48,333,3,236.94
141,49,102,1,271.46
142,50,18,1,227.61
143,51,186,2,362.06
144,51,189,1,389.79
145,51,190,3,578.38
146,52,63,2,102.11
147,52,64,2,493.51
148,52,62,2,371.7
149,53,323,3,535.41
150,53,327,2,201.68
151,53,328,2,383.36
152,54,19,1,522.0
153,54,23,2,546.25
154,54,22,3,340.37
155,54,20,1,325.95
156,55,202,3,275.59
157,56,189,1,389.79
158,57,17,1,349.24
159,57,18,2,227.61
160,57,13,1,181.3
161,58,36,2,451.1
162,58,37,3,100.35
163,58,29,1,289.92
164,58,33,1,333.58
165,59,262,1,261.24
166,59,265,1,153.4
167,59,264,1,595.06
168,59,258,3,437.51
169,60,145,1,364.26
170,60,144,1,244.77
171,60,142,2,277.08
172,60,141,3,117.34
173,61,329,3,249.74
174,61,335,2,298.79
175,61,332,1,459.6
176,62,64,3,493.51
177,63,51,1,431.65
178,63,50,2,179.18
179,63,55,1,411.64
180,64,41,2,415.58
181,65,347,1,427.68
182,65,351,2,103.52
183,65,350,3,279.68
184,65,345,3,204.24
185,65,348,2,469.54
186,66,242,1,477.48
187,66,233,1,254.39
188,66,240,2,244.74
189,66,243,3,413.73
190,66,236,2,142.97
191,67,5,1,202.06
192,67,3,2,412.97
193,67,6,1,288.65
194,68,288,1,376.44
195,69,70,2,347.88
196,69,67,1,309.79
197,69,71,3,386.66
198,70,323,1,535.41
199,70,326,1,546.1
200,70,328,1,383.36
201,71,269,2,580.01
202,71,270,3,470.16
203,71,276,3,417.38
204,71,271,3,259.08
205,72,8,3,430.05
206,72,4,1,544.92
207,72,5,1,202.06
208,72,3,1,412.97
209,73,21,1,220.2
210,73,19,1,522.0
211,73,23,3,546.25
212,73,20,3,325.95
213,73,22,1,340.37
214,74,310,3,270.18
215,75,333,3,236.94
216,75,330,3,135.75
217,75,329,3,249.74
218,75,332,1,459.6
219,75,334,3,412.22
220,76,302,1,218.65
221,76,296,3,371.15
222,77,350,3,279.68
223,78,289,2,381.41
224,78,285,3,381.51
225,78,288,1,376.44
226,78,292,1,453.55
227,78,286,1,248.66
228,79,315,2,204.69
229,79,317,2,388.58
230,79,316,2,292.94
231,79,322,3,486.15
232,79,311,1,499.23
233,80,79,3,329.29
234,80,74,3,546.89
235,81,39,3,175.38
236,82,224,2,116.46
237,82,227,2,275.46
238,82,230,2,392.78
239,82,228,3,247.63
240,83,83,2,171.45
241,83,82,2,257.14
242,83,81,2,255.25
243,83,84,2,337.48
244,83,80,1,106.36
245,84,28,1,355.9
246,84,27,1,304.17
247,85,110,1,523.85
248,86,3,2,412.97
249,86,8,2,430.05
250,86,10,2,266.03
251,87,93,3,253.74
252,88,323,3,535.41
253,88,324,2,468.77
254,88,326,1,546.1
255,88,327,3,201.68
256,89,69,1,309.89
257,89,70,2,347.88
258,89,73,1,483.94
259,90,335,2,298.79
260,90,334,1,412.22
261,90,331,1,251.12
262,91,347,2,427.68
263,92,325,1,266.21
264,92,324,3,468.77
265,92,323,2,535.41
266,93,274,3,310.49
267,94,48,3,335.62
268,94,45,1,433.23
269,95,336,1,219.87
270,95,341,3,497.13
271,95,337,1,138.65
272,96,325,1,266.21
273,96,326,1,546.1
274,96,328,2,383.36
275,96,323,2,535.41
276,97,108,2,560.08
277,98,232,2,370.3
278,99,249,3,273.52
279,99,248,1,598.05
280,99,251,3,343.76
281,100,131,3,320.05
282,100,136,2,479.64
283,101,8,1,430.05
284,101,5,3,202.06
285,101,4,1,544.92
286,102,333,1,236.94
287,102,335,3,298.79
288,102,332,2,459.6
289,102,334,3,412.22
290,102,329,1,249.74
291,103,151,1,154.02
292,103,148,1,229.71
293,104,317,2,388.58
294,105,314,2,263.64
295,105,312,1,520.48
296,105,315,2,204.69
297,106,215,3,564.41
298,107,31,3,211.21
299,107,30,1,556.72
300,107,32,3,330.06
301,107,33,2,333.58
302,108,195,2,148.48
303,109,147,3,224.23
304,110,75,1,440.88
305,111,125,3,266.25
306,111,122,3,264.99
307,111,120,3,520.12
308,111,121,2,510.53
309,111,127,3,414.5
310,112,347,2,427.68
311,112,349,2,424.82
312,113,14,2,590.92
313,113,16,3,330.96
314,113,15,1,197.1
315,114,289,3,381.41
316,114,283,3,584.65
317,115,70,2,347.88
318,115,68,1,492.27
319,115,71,3,386.66
320,116,15,1,197.1
321,116,11,2,460.67
322,116,13,1,181.3
323,117,107,3,534.33
324,117,109,1,419.32
325,118,211,1,115.45
326,119,16,3,330.96
327,119,17,2,349.24
328,119,11,1,460.67
329,119,15,1,197.1
330,119,18,1,227.61
331,120,187,3,492.54
332,120,188,3,191.11
333,120,185,2,243.03
334,120,189,2,389.79
335,121,71,1,386.66
336,121,69,2,309.89
337,121,70,3,347.88
338,121,73,2,483.94
339,122,59,3,535.48
340,122,64,3,493.51
341,123,98,3,145.09
342,124,125,1,266.25
343,124,126,2,258.03
344,125,307,3,499.35
345,125,305,3,276.18
346,125,306,1,155.79
347,125,308,3,535.87
348,125,309,3,368.22
349,126,51,2,431.65
350,126,57,3,316.59
351,126,50,1,179.18
352,127,168,1,220.7
353,127,166,3,394.12
354,128,271,2,259.08
355,128,274,3,310.49
356,128,276,1,417.38
357,129,241,2,301.33
358,129,239,3,223.21
359,129,240,3,244.74
360,129,235,2,501.59
361,129,233,2,254.39
362,130,226,3,376.49
363,130,231,2,403.1
364,130,225,1,451.94
365,130,224,3,116.46
366,131,257,1,265.79
367,131,259,3,514.59
368,131,263,3,183.05
369,131,258,1,437.51
370,131,265,2,153.4
371,132,190,1,578.38
372,132,189,3,389.79
373,132,185,3,243.03
374,133,95,1,367.08
375,133,97,2,352.08
376,134,251,3,343.76
377,134,246,3,586.06
378,135,246,3,586.06
379,135,244,3,561.85
380,136,125,1,266.25
381,136,122,1,264.99
382,136,126,1,258.03
383,136,123,1,318.49
384,136,120,2,520.12
385,137,309,2,368.22
386,138,143,2,277.36
387,138,141,1,117.34
388,138,142,2,277.08
389,138,145,2,364.26
390,139,329,1,249.74
391,139,335,2,298.79
392,139,332,3,459.6
393,139,330,2,135.75
394,140,47,2,376.53
395,140,40,1,512.95
396,140,46,1,445.4
397,140,39,1,175.38
398,140,41,3,415.58
399,141,110,1,523.85
400,141,107,1,534.33
401,141,109,3,419.32
402,141,105,2,226.0
403,142,20,1,325.95
404,142,22,3,340.37
405,142,23,1,546.25
406,142,19,3,522.0
407,142,21,2,220.2
408,143,227,1,275.46
409,143,225,3,451.94
410,143,231,2,403.1
411,143,230,3,392.78
412,144,59,1,535.48
413,144,65,1,412.41
414,144,66,1,432.5
415,144,63,3,102.11
416,145,344,1,306.57
417,145,343,1,111.87
418,145,338,2,193.09
419,146,79,2,329.29
420,146,77,3,324.39
421,146,78,2,463.86
422,146,74,3,546.89
423,146,75,3,440.88
